,MM,MR,MG,MI,MT,MP,MV,RM,RR,RG,RI,RT,RP,RV,GM,GR,GG,GI,GT,GP,GV,IM,IR,IG,II,IT,IP,IV,TM,TR,TG,TI,TT,TP,TV,PM,PR,PG,PI,PT,PP,PV,VM,VR,VG,VI,VT,VP,VV,fn,category
877,5771,5510,5319,9428,5125,3914,29677,1975,0,1356,264,861,117,1651,3052,307,710,335,1448,130,4037,1882,1615,448,1160,6081,557,8329,1603,3027,510,5658,49800,13256,19407,419,3711,770,250,14329,4969,4767,50154,12069,5158,1855,6419,4436,17100,0fc9234b6bdb33aea39e3957fa582f62.opcodeSeq.txt,0
878,235,421,396,1257,403,434,2506,141,0,111,29,98,17,143,177,30,33,47,91,14,168,135,203,53,124,547,55,1033,49,219,55,412,540,130,1586,24,350,66,53,254,320,334,4910,632,305,92,503,352,1597,1ef20d8e75b9706d1597d58022a1e7c3.opcodeSeq.txt,0
879,183,34,133,312,92,142,1070,12,0,4,5,19,2,20,73,2,3,9,12,3,49,15,11,2,23,129,10,292,10,78,2,82,125,19,393,23,71,10,10,52,115,142,1653,170,55,28,154,48,402,8354d69d2645b08b45743045723947e6.opcodeSeq.txt,0
880,5771,5510,5319,9428,5125,3914,29677,1975,0,1356,264,861,117,1651,3052,307,710,335,1448,130,4037,1882,1615,448,1160,6081,557,8329,1603,3027,510,5658,49800,13256,19407,419,3711,770,250,14329,4969,4767,50154,12069,5158,1855,6419,4436,17100,101ef95c05043fc95e69514d221f704e.opcodeSeq.txt,0
881,1399,1371,2176,3692,1698,1241,8804,392,0,201,110,498,38,520,1198,91,113,268,546,45,844,373,551,129,511,2077,299,3526,176,694,191,2213,3048,1031,6223,152,1051,336,126,1496,2312,1142,16796,2127,1534,234,1986,1191,3645,0709f23a82b4110d7333a5bdd81e799a.opcodeSeq.txt,0
882,4562,3523,2448,6719,3938,1913,19828,932,0,721,206,780,81,1052,1456,180,486,387,923,98,1565,979,1142,313,844,4576,507,5721,932,1733,249,4298,4693,1634,14751,289,2381,779,172,2487,3964,3312,33915,8410,3158,570,4854,3677,9038,2ed1303f058b1bf4a3911d177b6b461e.opcodeSeq.txt,0
883,85434,6509,3049,8390,21922,5778,27921,1938,0,705,0,65,0,18,2956,132,594,0,61,1,16,11437,228,150,5,209,76,286,10616,33,81,3994,848,711,7086,5510,1282,548,2,106,303,98,28404,4789,1170,0,54,955,752,4bd33ba8957168dccbeadbbea45c6843.opcodeSeq.txt,0
884,873,558,877,2049,879,675,5758,399,0,124,59,189,14,293,840,32,82,124,271,14,318,198,324,78,223,909,113,2050,62,554,103,829,936,467,3287,70,838,130,44,586,2246,851,9294,1496,1175,317,1198,726,2953,1634b1fb3b353019e9d3b7b3d21507ab.opcodeSeq.txt,0
885,7635,5635,6427,12328,11318,6143,36217,2036,0,1770,321,1567,140,1889,3599,526,1857,633,3103,311,3772,2341,2178,522,2340,12085,1665,11395,3254,2813,694,13599,75542,17603,36122,1242,5456,1850,389,20473,7011,6939,65863,13820,7217,1364,14444,7987,20388,0c8bb7f6e5f967ee4a5c694c9eba54c7.opcodeSeq.txt,0
886,12,7,20,40,4,13,137,1,0,0,0,7,0,10,8,0,0,0,1,0,8,6,4,1,13,1,1,44,0,2,0,7,2,3,21,2,3,0,2,3,11,11,204,42,14,4,4,2,79,af1863dd2babc0f8c0f5a4523ac8e294.opcodeSeq.txt,0
887,23,11,39,104,20,16,584,6,0,0,1,3,0,13,42,0,0,0,0,0,5,11,1,0,11,14,6,85,3,3,0,10,7,7,117,1,10,0,0,13,10,84,710,167,30,0,25,16,327,2a8d8e633510dbe3c419b593ddf2be6d.opcodeSeq.txt,0
